Commodity,Stage,Timeframe,Mode,Mean F1-Score,Mean Accuracy,Max Accuracy,Mean Precision,Mean Recall,Max F1-Score,Max Precision,Sharpe Ratio,Cumulative Return,BuyHold Return,Num Samples
GOLD,Stage 1,daily,buy_hold,0.339538366820397,0.504627204470054,0.5863453815261044,0.7517978321527773,0.504627204470054,0.4334502567230949,0.7574555249108885,0.4606541152845072,4.791517323775392,5.834684525907649,5991
GOLD,Stage 1,daily,buy_short,0.339538366820397,0.504627204470054,0.5863453815261044,0.7517978321527773,0.504627204470054,0.4334502567230949,0.7574555249108885,0.39487693542485747,3.739772242277363,5.834684525907649,5991
GOLD,Stage 1,monthly,buy_hold,0.339538366820397,0.504627204470054,0.5863453815261044,0.7517978321527773,0.504627204470054,0.4334502567230949,0.7574555249108885,0.488684964215633,4.713022981732464,5.834684525907649,5991
GOLD,Stage 1,monthly,buy_short,0.339538366820397,0.504627204470054,0.5863453815261044,0.7517978321527773,0.504627204470054,0.4334502567230949,0.7574555249108885,0.40476912705531753,3.4505694648499317,5.834684525907649,5991
GOLD,Stage 2,daily,buy_hold,0.4346102988180258,0.5229614108608347,0.606425702811245,0.554033634833484,0.5229614108608347,0.5604779596648953,0.7574555249108885,1.2086502294527326,43.97912262253943,5.834684525907649,5991
GOLD,Stage 2,daily,buy_short,0.4346102988180258,0.5229614108608347,0.606425702811245,0.554033634833484,0.5229614108608347,0.5604779596648953,0.7574555249108885,1.4407245352025135,284.8872012886997,5.834684525907649,5991
GOLD,Stage 2,monthly,buy_hold,0.4346102988180258,0.5229614108608347,0.606425702811245,0.554033634833484,0.5229614108608347,0.5604779596648953,0.7574555249108885,0.8666838816640461,11.217975457319671,5.834684525907649,5991
GOLD,Stage 2,monthly,buy_short,0.4346102988180258,0.5229614108608347,0.606425702811245,0.554033634833484,0.5229614108608347,0.5604779596648953,0.7574555249108885,0.8347038521802164,19.355517059559645,5.834684525907649,5991
GOLD,Stage 3,daily,buy_hold,0.48914951771191645,0.5252313602235027,0.6305220883534136,0.5450071949625435,0.5252313602235027,0.5862876648853284,0.6539090848331179,1.305612556316895,41.521391829829035,5.834684525907649,5991
GOLD,Stage 3,daily,buy_short,0.48914951771191645,0.5252313602235027,0.6305220883534136,0.5450071949625435,0.5252313602235027,0.5862876648853284,0.6539090848331179,1.4118671029685284,254.49811299740128,5.834684525907649,5991
GOLD,Stage 3,monthly,buy_hold,0.48914951771191645,0.5252313602235027,0.6305220883534136,0.5450071949625435,0.5252313602235027,0.5862876648853284,0.6539090848331179,0.84468155029659,8.477372360248848,5.834684525907649,5991
GOLD,Stage 3,monthly,buy_short,0.48914951771191645,0.5252313602235027,0.6305220883534136,0.5450071949625435,0.5252313602235027,0.5862876648853284,0.6539090848331179,0.6878257766681988,11.247840724296813,5.834684525907649,5991
GOLD,Stage 4,daily,buy_hold,0.48525567946757375,0.5213899074559105,0.6224899598393574,0.5399939479866108,0.5213899074559105,0.5699273692204972,0.6501790463919469,1.252128820857458,36.459447227936025,5.834684525907649,5991
GOLD,Stage 4,daily,buy_short,0.48525567946757375,0.5213899074559105,0.6224899598393574,0.5399939479866108,0.5213899074559105,0.5699273692204972,0.6501790463919469,1.3468249668217636,197.28756634067537,5.834684525907649,5991
GOLD,Stage 4,monthly,buy_hold,0.48525567946757375,0.5213899074559105,0.6224899598393574,0.5399939479866108,0.5213899074559105,0.5699273692204972,0.6501790463919469,0.900671123335467,9.837965890591065,5.834684525907649,5991
GOLD,Stage 4,monthly,buy_short,0.48525567946757375,0.5213899074559105,0.6224899598393574,0.5399939479866108,0.5213899074559105,0.5699273692204972,0.6501790463919469,0.7649074360611761,15.016927193553784,5.834684525907649,5991
SILVER,Stage 1,daily,buy_hold,0.3490571974999243,0.5133577789418543,0.5823293172690763,0.7515215392739106,0.5133577789418543,0.4286180254010968,0.7567781164819922,0.23738320005413507,4.465143120960303,3.4046511627906977,5988
SILVER,Stage 1,daily,buy_short,0.3490571974999243,0.5133577789418543,0.5823293172690763,0.7515215392739106,0.5133577789418543,0.4286180254010968,0.7567781164819922,0.23738320005413507,4.465143120960303,3.4046511627906977,5988
SILVER,Stage 1,monthly,buy_hold,0.3490571974999243,0.5133577789418543,0.5823293172690763,0.7515215392739106,0.5133577789418543,0.4286180254010968,0.7567781164819922,0.24564459184341003,4.480324074074081,3.4046511627906977,5988
SILVER,Stage 1,monthly,buy_short,0.3490571974999243,0.5133577789418543,0.5823293172690763,0.7515215392739106,0.5133577789418543,0.4286180254010968,0.7567781164819922,0.24564459184341003,4.480324074074081,3.4046511627906977,5988
SILVER,Stage 2,daily,buy_hold,0.38723803524206224,0.5147546708573423,0.5863453815261044,0.6603400574845429,0.5147546708573423,0.5548432788930672,0.7581454851664724,0.43971910287815563,17.89705591507047,3.4046511627906977,5988
SILVER,Stage 2,daily,buy_short,0.38723803524206224,0.5147546708573423,0.5863453815261044,0.6603400574845429,0.5147546708573423,0.5548432788930672,0.7581454851664724,0.5845143473602121,64.34114740522031,3.4046511627906977,5988
SILVER,Stage 2,monthly,buy_hold,0.38723803524206224,0.5147546708573423,0.5863453815261044,0.6603400574845429,0.5147546708573423,0.5548432788930672,0.7581454851664724,0.2507599057158149,4.247704574282441,3.4046511627906977,5988
SILVER,Stage 2,monthly,buy_short,0.38723803524206224,0.5147546708573423,0.5863453815261044,0.6603400574845429,0.5147546708573423,0.5548432788930672,0.7581454851664724,0.2330600636665159,4.02495891241569,3.4046511627906977,5988
