Commodity,Stage,Timeframe,Mode,Mean F1-Score,Mean Accuracy,Mean Precision,Mean Recall,Max F1-Score,Max Precision,Sharpe Ratio,Cumulative Return,BuyHold Return,Num Samples
CORN,Stage 1,daily,buy_hold,0.3806274357175821,0.4954044117647059,0.6620682618383802,0.4954044117647059,0.5100864964169655,0.7526608709782255,0.5342974312048865,11.408955666145717,1.3768472906403941,5991
CORN,Stage 1,daily,buy_short,0.3806274357175821,0.4954044117647059,0.6620682618383802,0.4954044117647059,0.5100864964169655,0.7526608709782255,0.6241506055558326,48.11039855729066,1.3768472906403941,5991
CORN,Stage 1,monthly,buy_hold,0.3806274357175821,0.4954044117647059,0.6620682618383802,0.4954044117647059,0.5100864964169655,0.7526608709782255,0.46007363738104345,8.761723275244016,1.3768472906403941,5991
CORN,Stage 1,monthly,buy_short,0.3806274357175821,0.4954044117647059,0.6620682618383802,0.4954044117647059,0.5100864964169655,0.7526608709782255,0.5315037394509755,29.003814609556983,1.3768472906403941,5991
CORN,Stage 2,daily,buy_hold,0.37811718952816786,0.4875,0.6361171602971686,0.4875,0.4626469337825972,0.752284277681661,0.3684821224714322,4.902969076872652,1.3768472906403941,5991
CORN,Stage 2,daily,buy_short,0.37811718952816786,0.4875,0.6361171602971686,0.4875,0.4626469337825972,0.752284277681661,0.3857988317082642,10.113324845321712,1.3768472906403941,5991
CORN,Stage 2,monthly,buy_hold,0.37811718952816786,0.4875,0.6361171602971686,0.4875,0.4626469337825972,0.752284277681661,0.27384212889888543,3.060027180170594,1.3768472906403941,5991
CORN,Stage 2,monthly,buy_short,0.37811718952816786,0.4875,0.6361171602971686,0.4875,0.4626469337825972,0.752284277681661,0.25503284634138057,4.190167466514518,1.3768472906403941,5991
CORN,Stage 3,daily,buy_hold,0.4545393892410704,0.4882352941176471,0.5151120521332092,0.4882352941176471,0.49827853681518375,0.544493495417537,0.30508620399264097,3.2577584453639705,1.3768472906403941,5991
CORN,Stage 3,daily,buy_short,0.4545393892410704,0.4882352941176471,0.5151120521332092,0.4882352941176471,0.49827853681518375,0.544493495417537,0.28107736092097857,4.781826174966953,1.3768472906403941,5991
CORN,Stage 3,monthly,buy_hold,0.4545393892410704,0.4882352941176471,0.5151120521332092,0.4882352941176471,0.49827853681518375,0.544493495417537,0.18134240413517022,1.4969583320840316,1.3768472906403941,5991
CORN,Stage 3,monthly,buy_short,0.4545393892410704,0.4882352941176471,0.5151120521332092,0.4882352941176471,0.49827853681518375,0.544493495417537,0.10422849487111273,0.9631165271773019,1.3768472906403941,5991
CORN,Stage 4,daily,buy_hold,0.44976147046959775,0.4878676470588236,0.5152819403247904,0.4878676470588236,0.5058764201439279,0.5470552694027974,0.2980297456906145,3.1300827326814495,1.3768472906403941,5991
CORN,Stage 4,daily,buy_short,0.44976147046959775,0.4878676470588236,0.5152819403247904,0.4878676470588236,0.5058764201439279,0.5470552694027974,0.27132075135384354,4.440270518419654,1.3768472906403941,5991
CORN,Stage 4,monthly,buy_hold,0.44976147046959775,0.4878676470588236,0.5152819403247904,0.4878676470588236,0.5058764201439279,0.5470552694027974,0.10644810565791032,0.7293287818644794,1.3768472906403941,5991
CORN,Stage 4,monthly,buy_short,0.44976147046959775,0.4878676470588236,0.5152819403247904,0.4878676470588236,0.5058764201439279,0.5470552694027974,-0.009289643578915973,-0.05837359515218499,1.3768472906403941,5991
SUGAR,Stage 1,daily,buy_hold,0.3279819966100458,0.47610294117647056,0.7058363280669748,0.47610294117647056,0.4564800610908031,0.755139624783737,0.150267034249864,1.2064864725647513,3.121317157712306,5990
SUGAR,Stage 1,daily,buy_short,0.3279819966100458,0.47610294117647056,0.7058363280669748,0.47610294117647056,0.4564800610908031,0.755139624783737,0.05812146224586178,0.5016351008728641,3.121317157712306,5990
SUGAR,Stage 1,monthly,buy_hold,0.3279819966100458,0.47610294117647056,0.7058363280669748,0.47610294117647056,0.4564800610908031,0.755139624783737,0.17482387399982666,1.451415735576747,3.121317157712306,5990
SUGAR,Stage 1,monthly,buy_short,0.3279819966100458,0.47610294117647056,0.7058363280669748,0.47610294117647056,0.4564800610908031,0.755139624783737,0.08427636747907785,0.7443230897670796,3.121317157712306,5990
SUGAR,Stage 2,daily,buy_hold,0.3612336473263865,0.47077205882352935,0.5668611536146845,0.47077205882352935,0.4568960396658664,0.755139624783737,0.17825698172455637,1.5938216433308319,3.121317157712306,5990
SUGAR,Stage 2,daily,buy_short,0.3612336473263865,0.47077205882352935,0.5668611536146845,0.47077205882352935,0.4568960396658664,0.755139624783737,0.10436545297804252,1.0751146309124535,3.121317157712306,5990
SUGAR,Stage 2,monthly,buy_hold,0.3612336473263865,0.47077205882352935,0.5668611536146845,0.47077205882352935,0.4568960396658664,0.755139624783737,0.14895278409579035,1.171241585892132,3.121317157712306,5990
SUGAR,Stage 2,monthly,buy_short,0.3612336473263865,0.47077205882352935,0.5668611536146845,0.47077205882352935,0.4568960396658664,0.755139624783737,0.04749842218613431,0.36838809622752966,3.121317157712306,5990
SUGAR,Stage 3,daily,buy_hold,0.43964834228977223,0.47996323529411755,0.5068928948093109,0.47996323529411755,0.4929021580575282,0.5281339127489434,0.21048046238074206,1.9524868073622836,3.121317157712306,5990
SUGAR,Stage 3,daily,buy_short,0.43964834228977223,0.47996323529411755,0.5068928948093109,0.47996323529411755,0.4929021580575282,0.5281339127489434,0.141399890635403,1.6886718759011816,3.121317157712306,5990
