Commodity,Stage,Timeframe,Mode,Mean F1-Score,Mean Accuracy,Mean Precision,Mean Recall,Max F1-Score,Max Precision,Sharpe Ratio,Cumulative Return,BuyHold Return,Num Samples
CORN,Stage 1,daily,buy_hold,0.3492464754028891,0.4888698630136986,0.7035344962801748,0.4888698630136986,0.5248839820757628,0.7620097579283168,0.4535088341404504,7.246189531002685,1.3768472906403941,5991
CORN,Stage 1,daily,buy_short,0.3492464754028891,0.4888698630136986,0.7035344962801748,0.4888698630136986,0.5248839820757628,0.7620097579283168,0.44719970751129107,17.933953477068773,1.3768472906403941,5991
CORN,Stage 1,monthly,buy_hold,0.3492464754028891,0.4888698630136986,0.7035344962801748,0.4888698630136986,0.5248839820757628,0.7620097579283168,0.4613730426566379,8.201014689624484,1.3768472906403941,5991
CORN,Stage 1,monthly,buy_short,0.3492464754028891,0.4888698630136986,0.7035344962801748,0.4888698630136986,0.5248839820757628,0.7620097579283168,0.4674436013931544,22.323997715235688,1.3768472906403941,5991
CORN,Stage 2,daily,buy_hold,0.3463433753916175,0.4871575342465754,0.6816584191041528,0.4871575342465754,0.5540161892901618,0.7620097579283168,0.4022330404401436,6.083962775190751,1.3768472906403941,5991
CORN,Stage 2,daily,buy_short,0.3463433753916175,0.4871575342465754,0.6816584191041528,0.4871575342465754,0.5540161892901618,0.7620097579283168,0.40096752511648215,12.972921577095063,1.3768472906403941,5991
CORN,Stage 2,monthly,buy_hold,0.3463433753916175,0.4871575342465754,0.6816584191041528,0.4871575342465754,0.5540161892901618,0.7620097579283168,0.37606450851376705,6.099463353762004,1.3768472906403941,5991
CORN,Stage 2,monthly,buy_short,0.3463433753916175,0.4871575342465754,0.6816584191041528,0.4871575342465754,0.5540161892901618,0.7620097579283168,0.38940117605602115,12.886173449035558,1.3768472906403941,5991
CORN,Stage 3,daily,buy_hold,0.4467232746891897,0.4876712328767123,0.5169649920399293,0.4876712328767123,0.598818982577729,0.6945354377605718,0.24204695381351563,2.257505512276207,1.3768472906403941,5991
CORN,Stage 3,daily,buy_short,0.4467232746891897,0.4876712328767123,0.5169649920399293,0.4876712328767123,0.598818982577729,0.6945354377605718,0.16468114596801584,1.9546429006294246,1.3768472906403941,5991
