Commodity,Stage,Timeframe,Mode,Mean F1-Score,Mean Accuracy,Mean Precision,Mean Recall,Max F1-Score,Max Precision,Sharpe Ratio,Cumulative Return,BuyHold Return,Num Samples
CORN,Stage 1,daily,buy_hold,0.20948991973637615,0.320935917583377,0.8071798613523569,0.320935917583377,0.35360489577357046,0.9651618522281898,0.30141668424231366,2.3257944159789297,1.3768472906403941,5991
CORN,Stage 1,daily,buy_short,0.20948991973637615,0.320935917583377,0.8071798613523569,0.320935917583377,0.35360489577357046,0.9651618522281898,0.07230283088203081,0.46506145114929165,1.3768472906403941,5991
CORN,Stage 1,monthly,buy_hold,0.20948991973637615,0.320935917583377,0.8071798613523569,0.320935917583377,0.35360489577357046,0.9651618522281898,0.24943676316544708,1.737200636576715,1.3768472906403941,5991
CORN,Stage 1,monthly,buy_short,0.20948991973637615,0.320935917583377,0.8071798613523569,0.320935917583377,0.35360489577357046,0.9651618522281898,0.14568473259456716,1.6539288537103505,1.3768472906403941,5991
CORN,Stage 2,daily,buy_hold,0.39768119263678164,0.41732145975205165,0.48405218184567866,0.41732145975205165,0.5217886471258167,0.7521330301124176,0.13398708039267812,0.8591358688109847,1.3768472906403941,5991
CORN,Stage 2,daily,buy_short,0.39768119263678164,0.41732145975205165,0.48405218184567866,0.41732145975205165,0.5217886471258167,0.7521330301124176,0.03864121724287099,0.26395994675409873,1.3768472906403941,5991
CORN,Stage 2,monthly,buy_hold,0.39768119263678164,0.41732145975205165,0.48405218184567866,0.41732145975205165,0.5217886471258167,0.7521330301124176,-0.07787213950916422,-0.3131527254996337,1.3768472906403941,5991
CORN,Stage 2,monthly,buy_short,0.39768119263678164,0.41732145975205165,0.48405218184567866,0.41732145975205165,0.5217886471258167,0.7521330301124176,-0.2676063224117828,-0.8328923353233045,1.3768472906403941,5991
CORN,Stage 3,daily,buy_hold,0.42254278459908673,0.4330364938012923,0.4521212465902291,0.4330364938012923,0.4941891510510339,0.5144497936535652,0.03167389907994612,0.1669163163099312,1.3768472906403941,5991
CORN,Stage 3,daily,buy_short,0.42254278459908673,0.4330364938012923,0.4521212465902291,0.4330364938012923,0.4941891510510339,0.5144497936535652,-0.09966442911468544,-0.46716714023998884,1.3768472906403941,5991
CORN,Stage 3,monthly,buy_hold,0.42254278459908673,0.4330364938012923,0.4521212465902291,0.4330364938012923,0.4941891510510339,0.5144497936535652,-0.08833607787024543,-0.34306046510365185,1.3768472906403941,5991
CORN,Stage 3,monthly,buy_short,0.42254278459908673,0.4330364938012923,0.4521212465902291,0.4330364938012923,0.4941891510510339,0.5144497936535652,-0.28101030321730036,-0.8471284007731715,1.3768472906403941,5991
CORN,Stage 4,daily,buy_hold,0.4206978632265152,0.43303649380129217,0.4519964800428503,0.43303649380129217,0.4853417071442491,0.5141602578446729,0.01340831227315109,0.06777278082625027,1.3768472906403941,5991
CORN,Stage 4,daily,buy_short,0.4206978632265152,0.43303649380129217,0.4519964800428503,0.43303649380129217,0.4853417071442491,0.5141602578446729,-0.16414923796886471,-0.6444772173860048,1.3768472906403941,5991
CORN,Stage 4,monthly,buy_hold,0.4206978632265152,0.43303649380129217,0.4519964800428503,0.43303649380129217,0.4853417071442491,0.5141602578446729,-0.07452867472709696,-0.30744487562424205,1.3768472906403941,5991
CORN,Stage 4,monthly,buy_short,0.4206978632265152,0.43303649380129217,0.4519964800428503,0.43303649380129217,0.4853417071442491,0.5141602578446729,-0.265115977911027,-0.8301033930159408,1.3768472906403941,5991
SUGAR,Stage 1,daily,buy_hold,0.15111501777192513,0.2444560852104068,0.8567083697933123,0.2444560852104068,0.3719380138354465,0.9726778600345156,0.28558330268790555,1.2091484869809976,3.121317157712306,5990
SUGAR,Stage 1,daily,buy_short,0.15111501777192513,0.2444560852104068,0.8567083697933123,0.2444560852104068,0.3719380138354465,0.9726778600345156,0.04597996308118338,0.2612009988727211,3.121317157712306,5990
SUGAR,Stage 1,monthly,buy_hold,0.15111501777192513,0.2444560852104068,0.8567083697933123,0.2444560852104068,0.3719380138354465,0.9726778600345156,0.35335332847139145,1.2451110220440857,3.121317157712306,5990
SUGAR,Stage 1,monthly,buy_short,0.15111501777192513,0.2444560852104068,0.8567083697933123,0.2444560852104068,0.3719380138354465,0.9726778600345156,0.1196903659858437,1.3390964382756754,3.121317157712306,5990
SUGAR,Stage 2,daily,buy_hold,0.3334935677988569,0.3521913741924219,0.4706561780549043,0.3521913741924219,0.48715912972941083,0.7276015424446713,0.021943813375761883,0.09838949714465395,3.121317157712306,5990
SUGAR,Stage 2,daily,buy_short,0.3334935677988569,0.3521913741924219,0.4706561780549043,0.3521913741924219,0.48715912972941083,0.7276015424446713,-0.2416353343860119,-0.7708320058917866,3.121317157712306,5990
SUGAR,Stage 2,monthly,buy_hold,0.3334935677988569,0.3521913741924219,0.4706561780549043,0.3521913741924219,0.48715912972941083,0.7276015424446713,0.07003831301167773,0.3480943908446732,3.121317157712306,5990
SUGAR,Stage 2,monthly,buy_short,0.3334935677988569,0.3521913741924219,0.4706561780549043,0.3521913741924219,0.48715912972941083,0.7276015424446713,-0.023981784130833902,-0.15663982877187888,3.121317157712306,5990
SUGAR,Stage 3,daily,buy_hold,0.4291734781369344,0.4351318316745242,0.46943256629441166,0.4351318316745242,0.5155186502835163,0.5279256561128234,0.04295592006155938,0.2512551355399375,3.121317157712306,5990
SUGAR,Stage 3,daily,buy_short,0.4291734781369344,0.4351318316745242,0.46943256629441166,0.4351318316745242,0.5155186502835163,0.5279256561128234,-0.029186152332948516,-0.183802170317097,3.121317157712306,5990
